case_id,expected_total_amount,payment_total_amount,amount_diff,abs_amount_diff,note
case_1,1403.66,1586.47,182.80999999999995,182.80999999999995,검수 후보
case_2,287.90999999999997,406.92,119.01000000000005,119.01000000000005,검수 후보
case_3,466.93,578.82,111.89000000000004,111.89000000000004,검수 후보
case_4,587.9,664.43,76.52999999999997,76.52999999999997,검수 후보
case_5,213.14999999999998,274.84,61.69,61.69,검수 후보
case_6,242.01,303.02,61.00999999999999,61.00999999999999,검수 후보
case_7,413.16999999999996,466.97,53.80000000000007,53.80000000000007,검수 후보
case_8,177.74,126.12,-51.620000000000005,51.620000000000005,검수 후보
case_9,348.93,394.36,45.43000000000001,45.43000000000001,검수 후보
case_10,254.45000000000002,293.89,39.43999999999997,39.43999999999997,검수 후보
