seller_id,total_orders,error_orders,error_rate
ede0c03645598cdfc63ca8237acbe73d,46,15,32.61
54965bbe3e4f07ae045b90b0b8541f52,78,25,32.05
835f0f7810c76831d6c7d24c7a646d4d,44,13,29.55
06a2c3af7b3aee5d69171b0e14f0ee87,392,109,27.81
ad781527c93d00d89a11eecd9dcad7c1,44,12,27.27
ea566164622c6b439516ab18062c42cd,50,13,26.0
66e0557ecc2b4dbea057e93f215f68d8,31,8,25.81
ef990a83bbea832f36ebe81376335aa8,43,11,25.58
a49928bcdf77c55c6d6e05e09a9b4ca5,98,25,25.51
2a1348e9addc1af5aaa619b1a3679d6b,52,13,25.0
beadbee30901a7f61d031b6b686095ad,64,16,25.0
cac4c8e7b1ca6252d8f20b2fc1a2e4af,75,18,24.0
d13e50eaa47b4cbe9eb81465865d8cfc,67,16,23.88
2a261b5b644fa05f4f2700eb93544f2c,51,12,23.53
527801b552d0077ffd170872eb49683b,90,21,23.33
0bf0150d5b9d60d9cd2906003332f085,39,9,23.08
71039d19d4303bf9054d69e9a9236699,35,8,22.86
99a54764c341d5dc80b4a8fac4eba3fb,45,10,22.22
602044f2c16190c2c6e45eb35c2e21cb,50,11,22.0
6039e27294dc75811c0d8a39069f52c0,64,14,21.88
712e6ed8aa4aa1fa65dab41fed5737e4,79,17,21.52
ba143b05f0110f0dc71ad71b4466ce92,85,18,21.18
1ca7077d890b907f89be8c954a02686a,115,24,20.87
88460e8ebdecbfecb5f9601833981930,248,51,20.56
ff1fb4c404b2efe68b03350a8dc24122,46,9,19.57
c60b801f2d52c7f7f91de00870882a75,41,8,19.51
32b8764b4ef628b53608fc34011fcc13,36,7,19.44
6ec1a01e866584bb679eb9b098345919,31,6,19.35
adbc26658d6c7b4b6219f9d934598091,88,17,19.32
f3da5b2ff499efb8d4a6d371d175d7dd,79,15,18.99
1eade46fba20122dc4aefb379f8c636b,58,11,18.97
3fd1e727ba94cfe122d165e176ce7967,37,7,18.92
d20b021d3efdf267a402c402a48ea64b,90,17,18.89
070d165398b553f3b4b851c216b8a358,32,6,18.75
d9bd94811c3338dceb4181f3dbc0c73e,54,10,18.52
45ba18c210d42734ec52c0c1c574e9ee,38,7,18.42
8b9d6eec4a7eb7d0f9d579ce0b38324d,49,9,18.37
d93919c944be9cff128f6c9cb899eacb,33,6,18.18
8a432f4e5b471f8da497d7dc517666e2,95,17,17.89
e5a3438891c0bfdb9394643f95273d8e,224,40,17.86
903037660cf848a717166eb7a06d616e,45,8,17.78
8160255418d5aaa7dbdc9f4c64ebda44,385,68,17.66
002100f778ceb8431b7a1020ff7ab48f,51,9,17.65
cd68562d3f44870c08922d380acae552,125,22,17.6
891071be6ba827b591264c90c2ae8a63,92,16,17.39
bbad7e518d7af88a0897397ffdca1979,69,12,17.39
2e90cb1677d35cfe24eef47d441b7c87,127,22,17.32
640e21a7d01df7614a3b4923e990d40c,116,20,17.24
7ad32824caee82087b3e2e5f33b1bf32,151,26,17.22
dd7ddc04e1b6c2c614352b383efe2d36,122,21,17.21
dd55f1bb788714a40e7954c3be6df745,35,6,17.14
7681ef142fd2c19048da7430856b5588,59,10,16.95
ec8879960bd2221d5c32f8e12f7da711,36,6,16.67
4c498c7345e89aebad651544829beca0,48,8,16.67
323ce52b5b81df2cd804b017b7f09aa7,30,5,16.67
2c9e548be18521d1c43cde1c582c6de8,126,21,16.67
b561927807645834b59ef0d16ba55a24,85,14,16.47
8e6d7754bc7e0f22c96d255ebda59eba,85,14,16.47
f7ba60f8c3f99e7ee4042fdef03b70c4,219,36,16.44
b17b679f4f5ce2e03ce6968c62648246,55,9,16.36
834f8533b2ecb6598dd004ff3de7203a,43,7,16.28
3c03b12bab54d8b37d79d914bfdb1aa0,37,6,16.22
72c5da29406b4234927b81855e7b64f6,31,5,16.13
cd6efc47efaabf134f8bdb654e10b4f1,31,5,16.13
abe42c5d03695b4257b5c6cbf4e6784e,50,8,16.0
59b22a78efb79a4797979612b885db36,125,20,16.0
2089a6d640999f9b9141ac719b2af596,44,7,15.91
b18dc380845b24038cfc48006478f099,44,7,15.91
2d50d6282f8aa2257819a77bfaa0efe0,44,7,15.91
6973a06f484aacf400ece213dbf3d946,95,15,15.79
11bfa66332777660bd0640ee84d47006,76,12,15.79
0b35c634521043bf4b47e21547b99ab5,51,8,15.69
a6fe7de3d16f6149ffe280349a8535a0,51,8,15.69
8f2ce03f928b567e3d56181ae20ae952,153,24,15.69
850913d59ce317156b00f3705f1c3edb,32,5,15.62
f84fa566034f5e8e880a07ec624c56af,91,14,15.38
cee48807215b30a12ca2ca10ffb5f250,39,6,15.38
