item_category,view_item_users,add_to_cart_users,purchase_users,view_to_cart_rate,view_to_purchase_rate
Gift Cards,0,0,9,,
Uncategorized Items,0,0,431,,
Clearance,0,0,493,,
Notebooks & Journals,0,0,33,,
Electronics Accessories,0,0,40,,
Writing Instruments,0,0,132,,
Black Lives Matter,0,0,2,,
Men's T-Shirts/,1742,286,0,0.16417910447761194,0.0
Home/Shop by Brand/Google Cloud/,213,25,0,0.11737089201877934,0.0
Backpacks/,449,19,0,0.042316258351893093,0.0
Home/Apparel/Socks/,919,281,0,0.30576713819368878,0.0
Home/Apparel/Men's / Unisex/,10687,2832,0,0.26499485356040048,0.0
Home/Sale/,7973,2461,0,0.30866675028220242,0.0
Home/Stationery/Stickers/,1472,475,0,0.32269021739130432,0.0
Home/Shop by Brand/,773,177,0,0.22897800776196636,0.0
Home/New/,4774,963,0,0.20171763720150818,0.0
Lifestyle/Drinkware/,4563,1317,0,0.28862590401051941,0.0
Lifestyle/,2560,545,0,0.212890625,0.0
Home/Eco-Friendly/,3448,704,0,0.20417633410672853,0.0
Men's / Unisex,6296,1570,0,0.24936467598475223,0.0
Writing,392,138,0,0.35204081632653061,0.0
Sale,6531,1999,0,0.30607870157709388,0.0
Home/Apparel/,5966,1168,0,0.19577606436473349,0.0
Lifestyle/Small Goods/,3528,829,0,0.23497732426303855,0.0
Home/Shop by Brand/Google/,2959,699,0,0.23622845555931057,0.0
Home/Apparel/Women's/,3803,1045,0,0.27478306600052588,0.0
Home/Stationery/,2096,552,0,0.26335877862595419,0.0
Home/Stationery/Notebooks/,1820,555,0,0.30494505494505497,0.0
Home/Campus Collection/,2746,825,0,0.30043699927166789,0.0
Lifestyle/Bags/,4262,767,0,0.17996245893946505,0.0
Eco-Friendly,2061,388,0,0.18825812712275594,0.0
Home/Shop by Brand/YouTube/,4524,705,0,0.15583554376657824,0.0
Home/Apparel/Kids/,2528,661,0,0.26147151898734178,0.0
Android,386,83,0,0.21502590673575128,0.0
Water Bottles/,157,15,0,0.095541401273885357,0.0
Office/,88,8,0,0.090909090909090912,0.0
Accessories/,104,3,0,0.028846153846153848,0.0
Home/Apparel/Hats/,5822,2411,0,0.41411885949845412,0.0
Kids,1090,215,0,0.19724770642201836,0.0
Home/Stationery/Writing/,889,362,0,0.40719910011248595,0.0
Notebooks,697,167,0,0.23959827833572453,0.0
Women's,2818,766,0,0.27182398864442869,0.0
Kid's-Infant/,42,13,0,0.30952380952380953,0.0
Home/Shop by Brand/Android/,814,189,0,0.23218673218673219,0.0
Men's T-Shirts,364,47,0,0.12912087912087913,0.0
Mugs & Tumblers/,232,30,0,0.12931034482758622,0.0
Home/Gift Cards/,27,8,0,0.29629629629629628,0.0
Water Bottles,5,0,0,0.0,0.0
Home/Black Lives Matter/,20,2,0,0.1,0.0
Hats,91,5,0,0.054945054945054944,0.0
More Bags/,9,1,0,0.1111111111111111,0.0
Home/Shop by Brand/#IamRemarkable/,92,28,0,0.30434782608695654,0.0
Shopping and Totes/,36,3,0,0.083333333333333329,0.0
YouTube,26,0,0,0.0,0.0
Men's Warm Gear/,5,1,0,0.2,0.0
Women's T-Shirts/,28,4,0,0.14285714285714285,0.0
Miscellaneous/,1,0,0,0.0,0.0
Women's Warm Gear/,1,0,0,0.0,0.0
Fun/,9,0,0,0.0,0.0
Women's T-Shirts,4,1,0,0.25,0.0
Clearance-Accessories/,8,0,0,0.0,0.0
Electronics/Electronic Accessories/,1,0,0,0.0,0.0
Kids-Youth/,7,0,0,0.0,0.0
Men's Warm Gear,1,0,0,0.0,0.0
Electronics/,3,0,0,0.0,0.0
New-Accessories/,1,0,0,0.0,0.0
Kid's-Toddler/,3,0,0,0.0,0.0
,4638,832,206,0.17938766709788703,0.044415696420871065
Small Goods,2782,607,158,0.21818835370237238,0.056793673616103525
Google,2361,568,225,0.24057602710715797,0.095298602287166453
Stationery,1049,289,188,0.27550047664442329,0.17921830314585319
Drinkware,2819,886,532,0.31429584959205392,0.18871940404398724
Bags,2428,325,498,0.13385502471169686,0.20510708401976935
Lifestyle,1855,399,450,0.21509433962264152,0.24258760107816713
Campus Collection,1336,428,737,0.32035928143712578,0.55164670658682635
New,1432,285,907,0.19902234636871508,0.63337988826815639
Apparel,2911,624,2430,0.21435932669185848,0.83476468567502582
Shop by Brand,422,119,629,0.28199052132701424,1.4905213270142179
Fun,3,0,36,0.0,12.0
Office,32,4,544,0.125,17.0
Accessories,35,0,775,0.0,22.142857142857142
(not set),9,135,397,15.0,44.111111111111114
