item_category,total_users,total_events,view_item_users,add_to_cart_users,begin_checkout_users,purchase_users,view_item_events,add_to_cart_events,begin_checkout_events,purchase_events,view_to_cart_rate,view_to_purchase_rate
Uncategorized Items,569,2996,0,0,437,431,0,0,2388,608,,
Writing Instruments,185,1513,0,0,161,132,0,0,1286,227,,
Clearance,732,4143,0,0,632,493,0,0,3478,665,,
Notebooks & Journals,68,336,0,0,59,33,0,0,292,44,,
Gift Cards,17,479,0,0,16,9,0,0,421,58,,
Electronics Accessories,58,293,0,0,52,40,0,0,241,52,,
Black Lives Matter,2,10,0,0,1,2,0,0,8,2,,
Home/Sale/,7973,521301,7973,2461,0,0,409702,111599,0,0,0.30866675028220242,0.0
Home/Apparel/Socks/,920,11990,919,281,0,0,9220,2770,0,0,0.30576713819368878,0.0
Backpacks/,449,4590,449,19,0,0,4449,141,0,0,0.042316258351893093,0.0
Home/Shop by Brand/#IamRemarkable/,92,1923,92,28,0,0,1435,488,0,0,0.30434782608695654,0.0
Home/Apparel/Men's / Unisex/,10687,580240,10687,2832,0,0,462115,118125,0,0,0.26499485356040048,0.0
Home/Stationery/Stickers/,1472,36931,1472,475,0,0,27696,9235,0,0,0.32269021739130432,0.0
Mugs & Tumblers/,232,4407,232,30,0,0,3800,607,0,0,0.12931034482758622,0.0
Home/New/,4775,132403,4774,963,0,0,110698,21705,0,0,0.20171763720150818,0.0
Lifestyle/Drinkware/,4564,190740,4563,1317,0,0,153638,37102,0,0,0.28862590401051941,0.0
Lifestyle/Bags/,4262,133444,4262,767,0,0,118372,15072,0,0,0.17996245893946505,0.0
Lifestyle/Small Goods/,3529,132770,3528,829,0,0,109830,22940,0,0,0.23497732426303855,0.0
Home/Stationery/,2096,76527,2096,552,0,0,59621,16906,0,0,0.26335877862595419,0.0
Home/Apparel/Hats/,5825,172047,5822,2411,0,0,126602,45445,0,0,0.41411885949845412,0.0
Home/Shop by Brand/YouTube/,4525,122601,4524,705,0,0,104579,18022,0,0,0.15583554376657824,0.0
Men's T-Shirts/,1742,45591,1742,286,0,0,38769,6822,0,0,0.16417910447761194,0.0
Home/Campus Collection/,2747,99301,2746,825,0,0,73729,25572,0,0,0.30043699927166789,0.0
Home/Apparel/,5966,205914,5966,1168,0,0,169219,36695,0,0,0.19577606436473349,0.0
Men's / Unisex,6296,22223,6296,1570,0,0,17874,4349,0,0,0.24936467598475223,0.0
Lifestyle/,2560,101196,2560,545,0,0,85147,16049,0,0,0.212890625,0.0
Home/Apparel/Kids/,2528,106833,2528,661,0,0,86682,20151,0,0,0.26147151898734178,0.0
