event_dt,active_users,view_item_events,add_to_cart_events,begin_checkout_events,purchase_events
2020-11-01,2365,3380,4,127,14
2020-11-02,3262,4935,0,219,49
2020-11-03,4648,5790,0,233,49
2020-11-04,3734,5063,0,218,46
2020-11-05,3272,5255,0,195,26
2020-11-06,2813,5370,0,269,58
2020-11-07,2004,3953,0,150,31
2020-11-08,1919,3166,0,132,32
2020-11-09,2805,4429,0,211,52
2020-11-10,3260,5222,0,266,64
2020-11-11,3296,5322,0,248,64
2020-11-12,3179,4925,0,355,54
2020-11-13,2860,5281,0,605,79
2020-11-14,2076,3509,0,320,30
2020-11-15,1957,3212,0,324,21
2020-11-16,3085,4836,85,542,69
2020-11-17,3449,6077,535,693,98
2020-11-18,3505,5338,621,354,68
2020-11-19,3566,5154,187,335,84
2020-11-20,3477,6082,15,318,118
2020-11-21,2755,4214,0,174,68
2020-11-22,2359,3737,0,166,60
2020-11-23,3421,5070,0,277,141
2020-11-24,3821,6624,0,366,147
2020-11-25,3988,6700,297,387,108
2020-11-26,3626,5114,1047,321,57
2020-11-27,3512,5216,1229,300,97
2020-11-28,3010,4438,1076,245,78
2020-11-29,2887,4095,811,246,51
2020-11-30,3971,7132,1767,950,141
2020-12-01,4308,6976,1653,732,107
2020-12-02,4101,6441,1464,768,82
2020-12-03,4464,7075,1286,775,90
2020-12-04,4131,7349,1561,733,96
2020-12-05,3082,4952,1063,591,87
2020-12-06,2948,4043,791,434,42
2020-12-07,4709,6872,1127,716,110
2020-12-08,6689,7896,1775,990,122
2020-12-09,5531,7801,1787,1016,150
2020-12-10,5241,8108,1739,983,143
2020-12-11,4948,7926,2135,933,160
2020-12-12,3750,5674,1381,647,106
2020-12-13,3402,4516,940,423,74
2020-12-14,4552,6684,1528,725,99
2020-12-15,4992,7348,1943,825,139
2020-12-16,4820,6432,1710,833,143
2020-12-17,4711,6142,1648,745,126
2020-12-18,4261,5374,1629,938,107
2020-12-19,3236,3113,776,526,52
2020-12-20,2966,2389,535,375,20
2020-12-21,3627,3542,841,534,53
2020-12-22,3405,4286,1103,546,60
2020-12-23,3123,3750,1116,589,67
2020-12-24,2601,2271,483,188,23
2020-12-25,2491,1639,462,202,17
2020-12-26,2472,1730,338,143,17
2020-12-27,2493,1681,500,211,20
2020-12-28,3042,2638,633,302,36
2020-12-29,3124,2308,556,239,24
2020-12-30,2955,1863,400,263,37
2020-12-31,2444,1639,444,252,25
2021-01-01,2160,1498,295,162,14
2021-01-02,2581,1390,304,140,14
2021-01-03,2579,1615,229,151,14
2021-01-04,3079,1983,396,183,16
2021-01-05,4101,2715,538,260,29
2021-01-06,5486,3144,656,348,31
2021-01-07,4171,2798,594,373,26
2021-01-08,3803,2660,498,308,34
2021-01-09,2958,2130,462,173,20
2021-01-10,2772,1778,310,173,14
2021-01-11,3606,2444,537,280,28
2021-01-12,4195,3315,745,428,48
2021-01-13,4131,2990,665,398,36
2021-01-14,3909,3268,684,469,54
2021-01-15,3550,2981,572,383,47
2021-01-16,2892,1938,357,281,27
2021-01-17,2716,1566,301,193,14
2021-01-18,3226,1829,388,221,19
2021-01-19,3713,3933,713,469,49
2021-01-20,4222,5548,925,804,96
2021-01-21,4198,4680,642,519,52
2021-01-22,3605,4486,677,906,100
2021-01-23,2824,2811,372,375,43
2021-01-24,2701,2610,473,397,36
2021-01-25,3507,3269,480,462,61
2021-01-26,3586,3012,506,413,55
2021-01-27,4017,3813,575,524,54
2021-01-28,3735,3321,478,325,69
2021-01-29,3386,3242,486,421,54
2021-01-30,2610,2375,369,261,31
2021-01-31,2546,1829,295,234,19
