item_category,view_item_users,add_to_cart_users,purchase_users,view_to_cart_rate,view_to_purchase_rate
Gift Cards,0,0,9,,
Uncategorized Items,0,0,431,,
Clearance,0,0,493,,
Notebooks & Journals,0,0,33,,
Electronics Accessories,0,0,40,,
Writing Instruments,0,0,132,,
Black Lives Matter,0,0,2,,
Men's T-Shirts/,1742,286,0,0.1641791044776119,0.0
Home/Shop by Brand/Google Cloud/,213,25,0,0.1173708920187793,0.0
Backpacks/,449,19,0,0.042316258351893,0.0
Home/Apparel/Socks/,919,281,0,0.3057671381936887,0.0
Home/Apparel/Men's / Unisex/,10687,2832,0,0.2649948535604004,0.0
Home/Sale/,7973,2461,0,0.3086667502822024,0.0
Home/Stationery/Stickers/,1472,475,0,0.3226902173913043,0.0
Home/Shop by Brand/,773,177,0,0.2289780077619663,0.0
Home/New/,4774,963,0,0.2017176372015081,0.0
Lifestyle/Drinkware/,4563,1317,0,0.2886259040105194,0.0
Lifestyle/,2560,545,0,0.212890625,0.0
Home/Eco-Friendly/,3448,704,0,0.2041763341067285,0.0
Men's / Unisex,6296,1570,0,0.2493646759847522,0.0
Writing,392,138,0,0.3520408163265306,0.0
Sale,6531,1999,0,0.3060787015770938,0.0
Home/Apparel/,5966,1168,0,0.1957760643647334,0.0
Lifestyle/Small Goods/,3528,829,0,0.2349773242630385,0.0
Home/Shop by Brand/Google/,2959,699,0,0.2362284555593105,0.0
Home/Apparel/Women's/,3803,1045,0,0.2747830660005258,0.0
Home/Stationery/,2096,552,0,0.2633587786259541,0.0
Home/Stationery/Notebooks/,1820,555,0,0.3049450549450549,0.0
Home/Campus Collection/,2746,825,0,0.3004369992716678,0.0
Lifestyle/Bags/,4262,767,0,0.179962458939465,0.0
Eco-Friendly,2061,388,0,0.1882581271227559,0.0
Home/Shop by Brand/YouTube/,4524,705,0,0.1558355437665782,0.0
Home/Apparel/Kids/,2528,661,0,0.2614715189873417,0.0
Android,386,83,0,0.2150259067357512,0.0
Water Bottles/,157,15,0,0.0955414012738853,0.0
Office/,88,8,0,0.0909090909090909,0.0
Accessories/,104,3,0,0.0288461538461538,0.0
Home/Apparel/Hats/,5822,2411,0,0.4141188594984541,0.0
Kids,1090,215,0,0.1972477064220183,0.0
Home/Stationery/Writing/,889,362,0,0.4071991001124859,0.0
Notebooks,697,167,0,0.2395982783357245,0.0
Women's,2818,766,0,0.2718239886444286,0.0
Kid's-Infant/,42,13,0,0.3095238095238095,0.0
Home/Shop by Brand/Android/,814,189,0,0.2321867321867321,0.0
Men's T-Shirts,364,47,0,0.1291208791208791,0.0
Mugs & Tumblers/,232,30,0,0.1293103448275862,0.0
Home/Gift Cards/,27,8,0,0.2962962962962962,0.0
Water Bottles,5,0,0,0.0,0.0
Home/Black Lives Matter/,20,2,0,0.1,0.0
Hats,91,5,0,0.0549450549450549,0.0
More Bags/,9,1,0,0.1111111111111111,0.0
Home/Shop by Brand/#IamRemarkable/,92,28,0,0.3043478260869565,0.0
Shopping and Totes/,36,3,0,0.0833333333333333,0.0
YouTube,26,0,0,0.0,0.0
Men's Warm Gear/,5,1,0,0.2,0.0
Women's T-Shirts/,28,4,0,0.1428571428571428,0.0
Miscellaneous/,1,0,0,0.0,0.0
Women's Warm Gear/,1,0,0,0.0,0.0
Fun/,9,0,0,0.0,0.0
Women's T-Shirts,4,1,0,0.25,0.0
Clearance-Accessories/,8,0,0,0.0,0.0
Electronics/Electronic Accessories/,1,0,0,0.0,0.0
Kids-Youth/,7,0,0,0.0,0.0
Men's Warm Gear,1,0,0,0.0,0.0
Electronics/,3,0,0,0.0,0.0
New-Accessories/,1,0,0,0.0,0.0
Kid's-Toddler/,3,0,0,0.0,0.0
,4638,832,206,0.179387667097887,0.044415696420871
Small Goods,2782,607,158,0.2181883537023723,0.0567936736161035
Google,2361,568,225,0.2405760271071579,0.0952986022871664
Stationery,1049,289,188,0.2755004766444232,0.1792183031458531
Drinkware,2819,886,532,0.3142958495920539,0.1887194040439872
Bags,2428,325,498,0.1338550247116968,0.2051070840197693
Lifestyle,1855,399,450,0.2150943396226415,0.2425876010781671
Campus Collection,1336,428,737,0.3203592814371257,0.5516467065868264
New,1432,285,907,0.199022346368715,0.6333798882681563
Apparel,2911,624,2430,0.2143593266918584,0.8347646856750258
Shop by Brand,422,119,629,0.2819905213270142,1.490521327014218
Fun,3,0,36,0.0,12.0
Office,32,4,544,0.125,17.0
Accessories,35,0,775,0.0,22.142857142857142
(not set),9,135,397,15.0,44.11111111111112
