household_key,total_sales,purchase_count,active_weeks,first_day,last_day,total_quantity,coupon_baskets,avg_basket_value,recency_from_dataset_end,coupon_basket_rate,sales_rank,sales_rank_pct,sales_contribution_segment,repurchase_group
1023,38319.79,603,84,107,710,4479917,29,63.54857379767828,1,0.04809286898839138,1,0.0004,Top 20% customers,2+ baskets
1609,27859.68,412,95,42,711,2146715,47,67.62058252427184,0,0.11407766990291263,2,0.0008,Top 20% customers,2+ baskets
2322,23646.920000000002,323,91,66,711,992718,27,73.2102786377709,0,0.08359133126934984,3,0.0012,Top 20% customers,2+ baskets
1453,21661.29,761,87,97,710,95743,42,28.4642444152431,1,0.05519053876478318,4,0.0016,Top 20% customers,2+ baskets
2459,20671.5,971,94,35,704,488789,50,21.28887744593203,7,0.05149330587023687,5,0.002,Top 20% customers,2+ baskets
1430,20352.99,344,90,76,711,1741892,18,59.16566860465117,0,0.05232558139534884,6,0.0024,Top 20% customers,2+ baskets
718,19299.86,599,102,1,707,869732,129,32.220133555926544,4,0.21535893155258765,7,0.0028,Top 20% customers,2+ baskets
707,19194.420000000002,498,86,103,711,1640193,8,38.54301204819277,0,0.01606425702811245,8,0.0032,Top 20% customers,2+ baskets
1653,19153.75,541,89,90,710,1065654,23,35.404343807763404,1,0.04251386321626617,9,0.0036,Top 20% customers,2+ baskets
1111,18894.72,321,95,32,707,11216,6,58.86205607476636,4,0.018691588785046728,10,0.004,Top 20% customers,2+ baskets
982,18790.34,412,93,66,710,1329976,75,45.6076213592233,1,0.1820388349514563,11,0.0044,Top 20% customers,2+ baskets
400,18494.14,310,85,109,711,862525,15,59.65851612903226,0,0.04838709677419355,12,0.0048,Top 20% customers,2+ baskets
1229,18304.31,385,95,27,711,1295539,21,47.54366233766234,0,0.05454545454545454,13,0.0052,Top 20% customers,2+ baskets
1975,17548.27,363,96,46,710,545648,69,48.34234159779614,1,0.19008264462809918,14,0.0056,Top 20% customers,2+ baskets
328,17332.13,239,90,66,708,356334,13,72.51937238493724,3,0.05439330543933055,15,0.006,Top 20% customers,2+ baskets
1527,17295.18,321,97,33,710,1734632,4,53.87906542056075,1,0.012461059190031152,16,0.0064,Top 20% customers,2+ baskets
1489,17251.53,536,91,65,710,792583,15,32.18569029850746,1,0.027985074626865673,17,0.0068,Top 20% customers,2+ baskets
2284,17152.63,265,80,107,710,185015,21,64.72690566037737,1,0.07924528301886792,18,0.0072,Top 20% customers,2+ baskets
