department,commodity_desc,total_sales,baskets,customers,units,coupon_line_rate,avg_sales_per_line,sales_share
KIOSK-GAS,COUPON/MISC ITEMS,514685.72,20271,1359,221135270,0.0,25.390248137733707,0.06387689461184598
GROCERY,SOFT DRINKS,327647.3,71699,2405,160637,0.013698397032297588,2.7877284484225573,0.040663828893399034
MEAT,BEEF,312103.22,36733,2238,65576,0.0,6.405270697368961,0.03873467577837167
GROCERY,FLUID MILK PRODUCTS,205356.05,69278,2421,116192,0.0038537895597337384,2.3981787924792712,0.025486440081832804
GROCERY,CHEESE,189528.18,46898,2350,96402,0.008746745009013821,2.530923148828203,0.023522066203497886
GROCERY,FRZN MEAT/MEAT DINNERS,160517.17,22777,2069,79391,0.016463327625570776,2.86310591466895,0.019921552032727403
GROCERY,BAG SNACKS,148375.16,42037,2348,80824,0.006295579699360024,2.2082923054025896,0.01841462486726033
GROCERY,BEERS/ALES,147309.68,15527,1606,19860,5.615769079575448e-05,8.272571460661537,0.018282389697279258
GROCERY,FROZEN PIZZA,146037.25,23174,2052,67225,0.0208938702089387,3.3678624140952906,0.01812447026440486
GROCERY,BAKED BREAD/BUNS/ROLLS,145930.85,60311,2400,99713,0.006824298346789696,1.7533022154940407,0.01811126511547106
MISC SALES TRAN,COUPON/MISC ITEMS,119960.04,5992,1393,36080860,0.0,19.828105785123967,0.014888065735946256
GROCERY,COLD CEREAL,111702.42,25166,2142,41303,0.022920517560073937,2.9496282017428044,0.013863224552311568
DELI,DELI MEATS,106539.94,17122,1741,26186,0.00035710034519700033,4.227272150140856,0.013222516683253608
DRUG GM,CIGARETTES,96387.83,10960,998,16842,0.035230132315934734,7.824322591119409,0.01196255310672798
MEAT,CHICKEN,94342.85,15070,1891,26042,0.0001688998986600608,5.311499268100439,0.011708753619259526
MEAT-PCKGD,LUNCHMEAT,93064.24,23732,2147,46290,0.006996388043571002,2.6468029919513096,0.011550067195591792
MEAT,PORK,90263.36,12384,1698,18235,0.00042191125799873427,6.347187961465439,0.01120245406076375
GROCERY,SOUP,86239.69,23347,2188,85009,0.01695993681161964,1.8921341436658037,0.010703082241116518
GROCERY,ICE CREAM/MILK/SHERBTS,82426.6,20090,2151,30629,0.010304096506659964,2.959343697267799,0.01022984519837229
DRUG GM,CANDY - PACKAGED,75868.82,21585,2170,44580,0.006262803628914252,2.2203342112964592,0.009415968679809329
GROCERY,CANNED JUICES,74735.18000000001,20208,2064,35552,0.00857662355483893,2.5639020206525096,0.009275274271563898
GROCERY,REFRGRATD JUICES/DRNKS,72179.2,25938,2113,37668,0.006005910578664717,2.2936604277225205,0.008958055318821267
MEAT-PCKGD,MEAT - MISC,65837.6,8437,1611,11315,0.005713076597545493,6.965467625899281,0.008171008584999933
GROCERY,COFFEE,64555.48,11481,1589,15206,0.01891339272674164,4.7141434204761214,0.008011886540347636
GROCERY,CRACKERS/MISC BKD FD,64528.56,22722,2193,33059,0.007569895367224035,2.170997543989503,0.008008545538380549
GROCERY,WATER - CARBONATED/FLVRD DRINK,63873.1,18019,1891,30061,0.004050489826676714,3.008341183119819,0.007927197353040804
GROCERY,DOMESTIC WINE,61592.29,4537,755,6794,0.0,10.702396177237185,0.0076441293479684175
GROCERY,BATH TISSUES,60620.23,13635,1852,16958,0.058145327734680806,4.3143000498185184,0.007523488398038059
DRUG GM,DIAPERS & DISPOSABLES,59663.7,4584,632,5283,0.11960862619808307,11.913678115015975,0.0074047748537744455
GROCERY,YOGURT,59341.22,17604,1778,74032,0.015862362127212117,1.3276331744859835,0.007364752330953281
GROCERY,VEGETABLES - SHELF STABLE,57690.05,22601,2138,77503,0.0052869364606363545,1.3863801307315198,0.0071598280286504275
GROCERY,BAKED SWEET GOODS,55091.48,18717,1932,31512,0.003051735899185007,1.977937026532151,0.0068373232930779996
