week_no,weekly_sales,active_customers,baskets,avg_basket_value,coupon_basket_rate
1,5211.16,88,142,36.698309859154925,0.04225352112676056
2,10821.35,175,324,33.399228395061726,0.040123456790123455
3,13498.2,228,482,28.0045643153527,0.06224066390041494
4,15965.99,270,545,29.295394495412843,0.05321100917431193
5,20139.82,370,757,26.6047820343461,0.04491413474240423
6,24923.9,433,861,28.94761904761905,0.05110336817653891
7,28073.97,491,999,28.102072072072072,0.042042042042042045
8,31793.77,530,1086,29.276031307550646,0.052486187845303865
9,31244.170000000002,622,1212,25.779018151815183,0.04785478547854786
10,42994.38,708,1553,27.68472633612363,0.05730843528654218
11,51011.3,846,1823,27.98206253428415,0.04333516182117389
12,53187.3,905,1926,27.615420560747665,0.046209761163032194
13,55203.01,972,2203,25.058107126645485,0.03858374943259192
14,62875.200000000004,1119,2433,25.84266337854501,0.049732840115084255
15,74261.29,1156,2743,27.073018592781622,0.11301494713816988
16,79135.01,1309,2840,27.86444014084507,0.054225352112676053
17,79556.35,1371,3048,26.10116469816273,0.04101049868766404
18,75968.18000000001,1313,3080,24.66499350649351,0.040584415584415584
19,72536.88,1268,2973,24.398546922300707,0.041035990581903804
20,86108.9,1319,3091,27.857942413458424,0.04335166612746684
21,83262.33,1312,2999,27.763364454818273,0.050683561187062354
22,79133.82,1313,3092,25.593085381630015,0.05109961190168176
23,76069.35,1290,2947,25.8124703087886,0.05157787580590431
24,88706.1,1335,3112,28.50453084832905,0.09383033419023136
25,88926.82,1345,3094,28.741700064641243,0.06108597285067873
26,79208.92,1303,2891,27.398450363196126,0.05603597371151851
27,79909.08,1266,2845,28.087550087873463,0.05202108963093146
28,78556.2,1286,2783,28.227164929931728,0.06252245777937478
29,89026.98,1331,2997,29.705365365365363,0.06539873206539873
30,80131.86,1285,2894,27.68896337249482,0.0608154803040774
31,77643.88,1278,2820,27.533290780141847,0.06382978723404255
32,76723.95,1280,2910,26.36561855670103,0.054982817869415807
33,85802.29,1305,2957,29.01666892120392,0.06425431180250253
34,81676.13,1292,2871,28.448669453152213,0.06757227446882619
35,82983.83,1262,2785,29.79670736086176,0.07791741472172352
36,84083.89,1325,3022,27.82392124420913,0.053606882859033755
37,87324.25,1316,2958,29.52138269100744,0.053076402974983096
38,90906.21,1284,2894,31.4119592259848,0.051831375259156875
39,82427.45,1295,2883,28.590860215053763,0.05064169268123483
40,89984.76,1278,2794,32.20642806012884,0.046528274874731566
41,83638.59,1308,2982,28.04781690140845,0.0482897384305835
42,93370.29000000001,1318,2919,31.98708119218911,0.05892428914011648
43,83953.87,1289,2849,29.467837837837838,0.04949104949104949
44,83093.82,1318,3001,27.688710429856716,0.05398200599800067
45,79682.33,1290,2861,27.85121635791681,0.05452638937434463
46,95878.08,1335,3086,31.068723266364227,0.059624108878807515
47,89835.46,1286,2926,30.702481203007522,0.05468215994531784
48,80300.28,1300,2866,28.018241451500348,0.04431263084438242
49,85805.5,1305,2944,29.145889945652176,0.05502717391304348
50,90219.68000000001,1332,2932,30.770695770804913,0.05695770804911323
51,85529.53,1302,2982,28.68193494299128,0.06472166331321261
52,84886.49,1299,2939,28.882779857094253,0.06498809118747874
53,83239.75,1288,2868,29.023622733612275,0.06520223152022316
54,87914.89,1315,2932,29.98461459754434,0.06070941336971351
55,87062.48,1334,3005,28.972539101497503,0.06455906821963395
56,89058.04,1334,2963,30.05671279109011,0.05636179547755653
57,82604.91,1291,2957,27.935377071356104,0.049036185322962465
58,83694.69,1286,2859,29.274113326337883,0.06016089541797831
59,96701.23,1391,3083,31.36595199481025,0.056438533895556274
60,90987.01,1386,3142,28.958309993634625,0.06397199236155315
61,90585.63,1391,3156,28.702671102661597,0.058935361216730035
62,88184.5,1362,3054,28.875081859855925,0.11820563195808775
63,92808.76,1361,3107,29.870859349855163,0.05986482137109752
64,91182.23,1335,3046,29.93507222586999,0.052199606040709126
65,87397.57,1343,3067,28.496110205412457,0.044995109227257905
66,77688.26,1283,2965,26.20177403035413,0.04384485666104553
67,90950.73,1337,3079,29.53904839233517,0.10750243585579734
68,97967.05,1410,3283,29.84070971672251,0.06457508376484922
69,86409.91,1318,3033,28.4899142762941,0.04879657105176393
70,84986.99,1315,3004,28.291274966711054,0.05892143808255659
71,83873.2,1338,2991,28.041858910063524,0.054496823804747574
72,96930.47,1407,3209,30.205818011841696,0.052664381427235896
73,87531.26,1339,3052,28.67996723460026,0.05799475753604194
74,85641.31,1309,2999,28.556622207402466,0.06302100700233411
75,83162.99,1328,2978,27.92578576225655,0.06984553391537945
76,88851.4,1332,2976,29.8559811827957,0.10450268817204302
77,92161.44,1355,3004,30.679573901464714,0.0692410119840213
78,81102.03,1295,2825,28.70868318584071,0.06513274336283185
79,82474.62,1365,2943,28.02399592252803,0.06863744478423378
80,83203.75,1325,3006,27.6792248835662,0.06753160345974717
81,90168.04,1348,2988,30.17672021419009,0.058902275769745646
82,86945.12,1360,3006,28.923858948769126,0.06287425149700598
83,83200.92,1347,2945,28.251585738539898,0.06383701188455009
84,85936.42,1293,2923,29.400075265138554,0.06397536777283613
