campaign,description,target_households,redeemed_households,redemptions,first_redemption_day,last_redemption_day,start_day,end_day,response_rate_observed,campaign_duration_days
18,TypeA,1133,214,653,588,642,587,642,0.18887908208296558,56
13,TypeA,1077,196,629,504,551,504,551,0.18198700092850512,48
3,TypeC,12,2,2,359,370,356,412,0.16666666666666666,57
8,TypeA,1076,158,372,412,460,412,460,0.14684014869888476,49
25,TypeB,187,24,61,659,691,659,691,0.12834224598930483,33
23,TypeB,183,23,60,646,684,646,684,0.12568306010928962,39
15,TypeC,17,2,2,555,575,547,708,0.11764705882352941,162
19,TypeB,130,15,29,605,634,603,635,0.11538461538461539,33
9,TypeB,176,20,43,435,467,435,467,0.11363636363636363,33
29,TypeB,118,13,24,282,329,281,334,0.11016949152542373,54
16,TypeB,188,19,43,561,592,561,593,0.10106382978723404,33
30,TypeA,361,36,64,323,369,323,369,0.0997229916897507,47
26,TypeA,332,31,73,225,264,224,264,0.09337349397590361,41
17,TypeB,202,18,45,576,606,575,607,0.0891089108910891,33
27,TypeC,12,1,1,283,283,237,300,0.08333333333333333,64
20,TypeC,244,20,33,617,684,615,685,0.08196721311475409,71
10,TypeB,123,10,15,466,494,463,495,0.08130081300813008,33
14,TypeC,224,18,34,533,596,531,596,0.08035714285714286,66
1,TypeB,13,1,1,375,375,346,383,0.07692307692307693,38
4,TypeB,81,6,11,374,385,372,404,0.07407407407407407,33
24,TypeB,100,7,10,662,704,659,719,0.07,61
12,TypeB,170,11,26,479,504,477,509,0.06470588235294118,33
22,TypeB,276,17,47,628,655,624,656,0.06159420289855073,33
21,TypeB,65,4,5,639,656,624,656,0.06153846153846154,33
28,TypeB,17,1,1,312,312,259,320,0.058823529411764705,62
5,TypeB,166,8,13,387,408,377,411,0.04819277108433735,35
2,TypeB,48,2,5,361,361,351,383,0.041666666666666664,33
11,TypeB,214,6,8,478,515,477,523,0.028037383177570093,47
7,TypeB,198,5,7,408,427,398,432,0.025252525252525252,35
6,TypeC,65,1,1,396,396,393,425,0.015384615384615385,33
