feature,pass_count,fail_count,pass_mean,fail_mean,mean_difference_fail_minus_pass,pass_median,fail_median,overall_std,standardized_mean_difference,abs_standardized_mean_difference,missing_rate,missing_count
feature_059,1456,104,2.563464217032967,8.515123076923079,5.951658859890111,0.7222500000000001,5.5222999999999995,9.532219593731654,0.6243728232828266,0.6243728232828266,0.004467134652201659,7
feature_103,1461,104,-0.009912662559890486,-0.008052884615384615,0.001859777944505871,-0.0102,-0.008199999999999999,0.0030645488768766076,0.6068684231270474,0.6068684231270474,0.0012763241863433313,2
feature_510,1461,104,54.44059137577002,74.34794903846154,19.907357662691517,46.3768,58.2324,37.691735602274036,0.5281624033649025,0.5281624033649025,0.0012763241863433313,2
feature_348,1439,104,0.02429068797776233,0.03044807692307692,0.00615738894531459,0.0225,0.0246,0.011862481313499935,0.519064163945806,0.519064163945806,0.015315890236119975,24
feature_158,130,8,1027.4569415384615,1237.799925,210.34298346153855,995.7002,1324.34985,406.84881031719414,0.517005280899181,0.517005280899181,0.9119336311423102,1429
feature_111,519,30,231.8765227360308,230.82198333333335,-1.0545394026974577,231.219,230.49255,2.105317916257847,-0.5008931879380368,0.5008931879380368,0.6496490108487556,1018
feature_293,130,8,331.65455461538465,398.87093749999997,67.21638288461531,310.9951,407.8713,137.69248302875377,0.48816305295750084,0.48816305295750084,0.9119336311423102,1429
feature_431,1462,103,21.191220656634748,38.92410291262136,17.73288225598661,16.2048,18.381,36.39540753203448,0.48722856696627165,0.48722856696627165,0.0012763241863433313,2
feature_085,215,11,0.11285162790697675,0.11144545454545454,-0.0014061733615222116,0.1136,0.1121,0.0029283261097954446,-0.48019698243937675,0.48019698243937675,0.8557753669432036,1341
feature_434,1462,103,13.719237346101233,29.136890291262137,15.417652945160905,10.1496,11.3598,34.10885406654277,0.4520132196491472,0.4520132196491472,0.0012763241863433313,2
feature_430,1462,103,17.368449863201093,33.37019805825242,16.001748195051327,10.98515,13.4729,36.06008447354801,0.4437523768639383,0.4437523768639383,0.0012763241863433313,2
feature_435,1462,103,8.376003761969905,23.48906893203884,15.113065170068936,4.52685,4.7577,34.369788819490914,0.43971946552951763,0.43971946552951763,0.0012763241863433313,2
