feature,abs_standardized_mean_difference,standardized_mean_difference,missing_rate,std,iqr,outlier_rate_iqr,group_difference_score,missing_risk_score,variability_score,outlier_score,priority_score,analysis_status
feature_158,0.517005280899181,0.517005280899181,0.9119336311423102,406.84881031719414,556.075075,0.021739130434782608,4.957805907172996,5.0,4.88135593220339,2.703389830508475,4.721690624329543,review_with_caution_high_missing
feature_293,0.48816305295750084,0.48816305295750084,0.9119336311423102,137.69248302875377,174.17985000000002,0.028985507246376812,4.936708860759494,5.0,4.677966101694915,3.1440677966101696,4.705417292426517,review_with_caution_high_missing
feature_519,0.2542859893239848,0.2542859893239848,0.4562858966177409,15.814419874330685,6.8115499999999995,0.13380281690140844,4.419831223628692,5.0,4.127118644067797,4.911016949152542,4.511805406565115,review_with_caution_high_missing
feature_110,0.23868517932010785,0.23868517932010785,0.6496490108487556,1.8800873187169334,1.6891000000000105,0.08561020036429873,4.356540084388186,5.0,3.1779661016949152,4.61864406779661,4.216798970178074,review_with_caution_high_missing
feature_111,0.5008931879380368,-0.5008931879380368,0.6496490108487556,2.105317916257847,2.662300000000016,0.0018214936247723133,4.947257383966245,5.0,3.2033898305084745,1.3474576271186443,4.161859043123793,review_with_caution_high_missing
feature_247,0.29286413844064074,0.29286413844064074,0.4562858966177409,0.06688019872989498,0.032299999999999995,0.13380281690140844,4.567510548523207,5.0,2.1779661016949152,4.911016949152542,4.090972967174427,review_with_caution_high_missing
feature_294,0.33113005226471987,0.33113005226471987,0.0012763241863433313,477.0500761816525,243.46470000000002,0.08370607028753993,4.694092827004219,1.0,4.906779661016949,4.59322033898305,3.9983587213044407,priority_review_candidate
feature_159,0.31538297211267635,0.31538297211267635,0.0012763241863433313,983.0430214415103,555.0,0.08498402555910543,4.651898734177215,1.0,4.9491525423728815,4.610169491525424,3.9916595151255096,priority_review_candidate
feature_510,0.5281624033649025,0.5281624033649025,0.0012763241863433313,37.691735602274036,28.926499999999997,0.058146964856230034,4.978902953586498,1.0,4.491525423728814,4.279661016949153,3.991353786741043,priority_review_candidate
feature_160,0.363239887720715,0.363239887720715,0.0012763241863433313,574.8085883403089,330.0,0.04600638977635783,4.7784810126582276,1.0,4.932203389830509,3.919491525423729,3.975316455696203,priority_review_candidate
feature_430,0.4437523768639383,0.4437523768639383,0.0012763241863433313,36.06008447354801,10.4234,0.07476038338658147,4.89451476793249,1.0,4.47457627118644,4.516949152542373,3.972870628620468,priority_review_candidate
feature_431,0.48722856696627165,0.48722856696627165,0.0012763241863433313,36.39540753203448,10.7062,0.0523961661341853,4.9261603375527425,1.0,4.483050847457627,4.127118644067797,3.9502467281699207,priority_review_candidate
feature_295,0.37191431904191385,0.37191431904191385,0.0012763241863433313,283.53070180436623,143.7323,0.04664536741214057,4.789029535864978,1.0,4.796610169491525,3.9449152542372885,3.9487073589358506,priority_review_candidate
feature_059,0.6243728232828266,0.6243728232828266,0.004467134652201659,9.532219593731652,6.2568,0.12564102564102564,5.0,1.0,3.9661016949152543,4.872881355932203,3.928813559322034,priority_review_candidate
feature_569,0.21635166640446268,0.21635166640446268,0.1742182514358647,10.213294338381658,9.305975,0.05641421947449768,4.219409282700422,3.0,4.016949152542373,4.228813559322034,3.925852821282987,priority_review_candidate
feature_021,0.43738610905533837,0.43738610905533837,0.0012763241863433313,626.822178342131,577.0,0.023003194888178913,4.8734177215189876,1.0,4.940677966101695,2.8305084745762707,3.911258313666595,priority_review_candidate
feature_435,0.43971946552951763,0.43971946552951763,0.0012763241863433313,34.369788819490914,2.3284,0.04089456869009585,4.883966244725738,1.0,4.440677966101695,3.7711864406779663,3.885072945719803,priority_review_candidate
feature_562,0.2032430503243513,-0.2032430503243513,0.1742182514358647,7.630585273216422,5.734499999999969,0.1661514683153014,3.9873417721518987,3.0,3.8813559322033897,4.983050847457627,3.8629478652649643,priority_review_candidate
feature_436,0.4310228631762234,0.4310228631762234,0.0012763241863433313,34.55780389217089,1.8713,0.03769968051118211,4.852320675105485,1.0,4.4491525423728815,3.610169491525424,3.856849388543232,priority_review_candidate
feature_492,0.20921654803539116,-0.20921654803539116,0.8557753669432036,1.7592622036065415,2.1542499999999993,0.01327433628318584,4.082278481012659,5.0,3.1440677966101696,2.2203389830508473,3.8450761639133235,review_with_caution_high_missing
feature_434,0.4520132196491472,0.4520132196491472,0.0012763241863433313,34.10885406654277,5.203500000000001,0.030031948881789138,4.905063291139241,1.0,4.432203389830509,3.233050847457627,3.838634413216049,priority_review_candidate
feature_022,0.29718715204093055,-0.29718715204093055,0.0012763241863433313,295.49853453043056,263.75,0.03386581469648562,4.578059071729958,1.0,4.822033898305085,3.415254237288136,3.807160480583566,priority_review_candidate
feature_157,0.2105442011905235,-0.2105442011905235,0.9119336311423102,0.03953765066837538,0.021825000000000004,0.09420289855072464,4.10337552742616,5.0,1.9576271186440677,4.711864406779661,3.8071122076807553,review_with_caution_high_missing
feature_551,0.25832475193760324,0.25832475193760324,0.16592214422463306,1.3611173002144201,0.5000000000000001,0.03289977046671767,4.451476793248945,3.0,3.1101694915254234,3.389830508474576,3.719689980690839,priority_review_candidate
feature_557,0.25890342686831813,0.25890342686831813,0.16592214422463306,1.870433438491922,0.6327,0.023718439173680182,4.472573839662447,3.0,3.169491525423729,2.8728813559322037,3.692319244797254,priority_review_candidate
feature_468,0.2221613282453043,-0.2221613282453043,0.004467134652201659,230.76691495133312,297.449625,0.03461538461538462,4.293248945147679,1.0,4.745762711864407,3.508474576271187,3.669250160909676,priority_review_candidate
